Ordered,Unordered
I write essays.,write essays I
I go for a drive.,drive go I a for
I practice meditation.,I practice meditation
I watch the stars.,stars watch the I
I study literature.,I study literature
He reads books.,books He reads
He loves dogs.,loves He dogs
He watches TV.,watches TV He
He eats lunch.,He lunch eats
He studies art.,He studies art
He plays games.,plays games He
He goes running.,running He goes
He listens to music.,music to listens He
He writes poetry.,writes He poetry
She reads books.,books She reads
She loves cats.,She loves cats
She watches TV.,watches She TV
She eats lunch.,She lunch eats
She studies art.,She studies art
She plays games.,She plays games
She goes running.,goes She running
She listens to music.,to She music listens
She writes poetry.,She poetry writes
She goes swimming.,swimming goes She
She takes walks.,She takes walks
She plays piano.,piano plays She
She studies history.,history She studies
She writes stories.,She stories writes
She goes hiking.,goes She hiking
She takes photos.,She photos takes
She listens to podcasts.,listens to podcasts She
She goes shopping.,shopping She goes
She watches movies.,She watches movies
She attends events.,events She attends
She plays volleyball.,volleyball plays She
She goes camping.,goes camping She
She watches tennis.,She tennis watches
She studies psychology.,psychology studies She
She writes essays.,essays She writes
She attends concerts.,attends She concerts
She goes for a drive.,for She drive goes a
She practices yoga.,yoga practices She
She watches the sunset.,She watches sunset the
She studies philosophy.,studies She philosophy
She goes for a walk.,walk a goes She for
She listens to audiobooks.,audiobooks She to listens
She plays guitar.,She guitar plays
She attends parties.,She parties attends
She watches the ocean.,ocean the watches She
She studies sociology.,studies She sociology
She writes articles.,She writes articles
She goes to the gym.,the She to gym goes
She takes care.,care She takes
She watches TV shows.,watches shows TV She
She goes on a picnic.,goes on picnic a She
She studies anthropology.,She anthropology studies
She plays basketball.,basketball She plays
She listens to the news.,news She listens to the
She watches the mountains.,mountains the She watches
She goes on a vacation.,on vacation She goes a
She practices painting.,She practices painting
She watches the river.,river the watches She
She studies geography.,She geography studies
She writes journals.,journals writes She
She goes on a bike ride.,on ride She goes bike a
She attends meetings.,She meetings attends
She watches the beach.,watches She beach the
She studies linguistics.,studies She linguistics
She listens to podcasts.,podcasts She listens to
She goes on a road trip.,on a road She trip goes
She practices photography.,practices She photography
She watches the city.,city the watches She
She studies chemistry.,She chemistry studies
She writes blogs.,She writes blogs
She goes for a run.,She for run goes a
She takes care.,care She takes
She watches the trees.,watches the trees She
She studies economics.,She economics studies
She plays tennis.,tennis She plays
She goes on a trip.,a on trip She goes
She attends lectures.,lectures attends She
She watches the sky.,She watches the sky
She studies biology.,biology She studies
She listens to music.,to listens She music
She goes for a hike.,goes for a hike She
She watches the animals.,animals the She watches
She studies mathematics.,She studies mathematics
She goes to the zoo.,She to the zoo goes
She watches the planes.,the watches She planes
She studies engineering.,engineering studies She
She writes novels.,novels She writes
She goes on a cruise.,on goes a cruise She
She plays video games.,She video games plays
She attends classes.,She attends classes
She watches the snow.,the She snow watches
She studies physics.,physics She studies
She listens to the radio.,the to radio She listens
She goes for a swim.,a goes She for swim
She watches the cars.,watches the She cars
She studies politics.,She studies politics
She writes letters.,letters She writes
She goes on a run.,goes run on a She
She takes care.,care takes She
She watches the sunrise.,She watches the sunrise
She studies ecology.,She studies ecology
She plays football.,She football plays
She goes on a date.,She goes a date on
She watches the river.,the river She watches
She studies business.,She studies business
She writes scripts.,scripts writes She
She goes on a trip.,on She a trip goes
He goes swimming.,goes He swimming
He takes walks.,walks takes He
He plays guitar.,He guitar plays
He studies history.,history He studies
He writes stories.,writes stories He
He goes hiking.,goes hiking He
He takes photos.,takes He photos
He listens to podcasts.,to listens He podcasts
He goes shopping.,He goes shopping
He watches movies.,watches He movies
He attends events.,He events attends
He plays basketball.,plays basketball He
He goes camping.,goes He camping
He watches soccer.,watches He soccer
He studies psychology.,He studies psychology
He writes essays.,He essays writes
He attends concerts.,He attends concerts
He goes for a drive.,for a goes drive He
He practices yoga.,practices yoga He
He watches the sunset.,He watches the sunset
He studies philosophy.,philosophy He studies
He goes for a walk.,a He walk for goes
He listens to audiobooks.,to He audiobooks listens
He plays tennis.,tennis plays He
He attends parties.,He attends parties
He watches the ocean.,He ocean watches the
He studies sociology.,sociology He studies
He writes articles.,articles writes He
He goes to the gym.,to He goes the gym
He takes care.,care He takes
He watches TV shows.,TV shows watches He
He goes on a picnic.,He a goes picnic on
He studies anthropology.,He studies anthropology
He plays hockey.,hockey plays He
He listens to the news.,to the listens news He
He watches the mountains.,watches the He mountains
He goes on a vacation.,vacation goes a He on
He practices painting.,painting He practices
He watches the river.,the river watches He
He studies geography.,studies geography He
He writes journals.,journals writes He
He goes on a bike ride.,goes a bike He ride on
He attends meetings.,meetings He attends
He watches the beach.,He watches beach the
He studies linguistics.,studies He linguistics
He listens to podcasts.,to podcasts listens He
He goes on a road trip.,He a goes on trip road
He practices photography.,photography practices He
He watches the city.,city watches He the
He studies chemistry.,He studies chemistry
He writes blogs.,He blogs writes
He goes for a run.,run for goes a He
He takes care.,care He takes
He watches the trees.,the trees watches He
He studies economics.,studies economics He
He plays soccer.,soccer plays He
He goes on a trip.,trip a on goes He
He attends lectures.,lectures He attends
He watches the sky.,the sky He watches
He studies biology.,biology He studies
He listens to music.,music listens He to
He goes for a hike.,hike for goes a He
He watches the animals.,watches animals He the
He studies mathematics.,studies mathematics He
He goes to the zoo.,He zoo the goes to
He watches the planes.,watches planes He the
He studies engineering.,He engineering studies
He writes novels.,He novels writes
He goes on a cruise.,cruise on a He goes
He plays video games.,video plays games He
He attends classes.,He attends classes
He watches the snow.,He watches snow the
He studies physics.,physics He studies
He listens to the radio.,the He listens to radio
He goes for a swim.,swim a goes for He
He watches the cars.,watches He the cars
He studies politics.,He studies politics
He writes letters.,writes letters He
He goes on a run.,run He goes on a
He takes care.,care He takes
He watches the sunrise.,the He watches sunrise
He studies ecology.,ecology He studies
He plays football.,plays football He
He goes on a date.,He date goes on a
He watches the river.,watches He the river
He studies business.,business studies He
He writes scripts.,writes scripts He
He goes on a trip.,a He trip on goes
He attends meetings.,He attends meetings
He watches the garden.,watches He garden the
He studies technology.,He technology studies
He listens to audiobooks.,to audiobooks He listens
He goes for a jog.,jog a goes He for
He watches the moon.,moon watches He the
He studies statistics.,statistics studies He
He takes naps.,He takes naps
He cooks dinner.,cooks dinner He
I listen to audiobooks.,listen audiobooks I to
I go to the beach.,go to the beach I
I play tennis.,tennis I play
I attend parties.,attend I parties
I watch the ocean.,watch the ocean I
I study astronomy.,study I astronomy
I write articles.,I write articles
I go to the gym.,to go I gym the
I take care.,care take I
I watch TV shows.,shows I watch TV
I go on a picnic.,I picnic go on a
I study sociology.,study I sociology
I play hockey.,play hockey I
I go for a walk.,I walk for go a
I watch the mountains.,watch mountains the I
I study economics.,economics I study
I listen to the news.,I listen to news the
I go on a vacation.,vacation on I go a
I practice painting.,painting practice I
I watch the river.,watch the I river
I study geography.,study geography I
I write journals.,write journals I
I go on a bike ride.,I bike a go ride on
I play baseball.,I play baseball
I go to museums.,I museums go to
I watch the beach.,I watch beach the
I study anthropology.,anthropology I study
I listen to podcasts.,listen I podcasts to
I go on a road trip.,I a go road trip on
I practice photography.,photography I practice
I watch the city.,the watch I city
I study linguistics.,linguistics study I
I write blogs.,I write blogs
I go for a run.,I for a run go
I take care.,care take I
I watch the trees.,watch trees the I
I study chemistry.,study I chemistry
I play soccer.,soccer play I
I go on a trip.,on I trip go a
I attend lectures.,lectures attend I
I watch the sky.,the I watch sky
I study biology.,I biology study
I listen to music.,music I to listen
I go for a hike.,a go for I hike
I watch the animals.,watch I animals the
I study mathematics.,study mathematics I
I go to the zoo.,zoo go the I to
I watch the planes.,watch the planes I
I study engineering.,I engineering study
I write novels.,write novels I
I go on a cruise.,cruise on a I go
I play video games.,play games video I
I attend classes.,I classes attend
I watch the snow.,watch I snow the
I study physics.,study physics I
I listen to the radio.,radio the listen I to
I go for a swim.,I go for swim a
I watch the cars.,the watch I cars
I study politics.,study I politics
I write letters.,I write letters
I go on a run.,I go on run a
I take care.,I care take
I watch the sunrise.,I the watch sunrise
I study ecology.,study I ecology
I play football.,I play football
I go on a date.,go on date I a
I watch the river.,the I watch river
I study business.,business study I
I write scripts.,I scripts write
I go on a trip.,a go trip on I
I attend meetings.,I attend meetings
I watch the garden.,watch I garden the
I study technology.,I technology study
I listen to audiobooks.,I audiobooks to listen
I go for a jog.,for jog a go I
I watch the moon.,the moon I watch
I study statistics.,study statistics I
We go shopping.,shopping We go
We play games.,We play games
We watch TV.,TV We watch
We cook dinner.,cook dinner We
We exercise together.,exercise We together
We take walks.,take walks We
We listen to music.,to music listen We
We study together.,together study We
We read books.,read books We
We watch movies.,We watch movies
We play sports.,sports We play
We eat breakfast.,breakfast We eat
We go swimming.,swimming go We
We hike mountains.,hike We mountains
We watch the sunset.,the We watch sunset
We write stories.,We write stories
We go running.,go running We
We study languages.,study We languages
We go on trips.,We go trips on
We dance together.,We together dance
We watch the stars.,watch stars We the
We practice yoga.,practice We yoga
We attend events.,attend We events
We cook lunch.,lunch cook We
We go camping.,camping We go
We play music.,music play We
We watch sports.,sports We watch
We take photos.,We photos take
We study history.,We history study
We watch the ocean.,ocean the We watch
We go on dates.,go We on dates
We write poetry.,We poetry write
We have fun.,have We fun
We attend parties.,parties attend We
We play chess.,chess We play
We watch the sunrise.,We watch the sunrise
We study science.,science study We
We eat dinner.,We dinner eat
We go skiing.,go skiing We
We watch the moon.,the We moon watch
We go on walks.,We on go walks
We take care.,We take care
We study art.,We art study
We watch nature.,nature We watch
We go for a drive.,drive We go a for
We listen to podcasts.,to We listen podcasts
We watch the city.,We city the watch
We go on picnics.,on picnics We go
We study literature.,study literature We
We write blogs.,We blogs write
We watch the river.,river the We watch
We go on road trips.,trips on go We road
We practice painting.,practice painting We
We study philosophy.,We study philosophy
We attend concerts.,concerts attend We
We play basketball.,play We basketball
We watch the mountains.,the We mountains watch
We go to the gym.,gym We the go to
We listen to audiobooks.,audiobooks to listen We
We study psychology.,study We psychology
We watch the beach.,beach watch the We
We go on vacations.,We on vacations go
We take care.,take care We
We study sociology.,study We sociology
We write journals.,journals write We
We watch the trees.,watch We the trees
We go on bike rides.,bike We on go rides
We listen to the news.,the listen We to news
We study geography.,study geography We
We play tennis.,play tennis We
We watch the animals.,animals We watch the
We go on a cruise.,a cruise We go on
We attend meetings.,attend meetings We
We study linguistics.,linguistics We study
We watch the sky.,We watch sky the
We go on a run.,a run We go on
We take care.,care We take
We play football.,play football We
We watch the cars.,watch the We cars
We go to the zoo.,the zoo We to go
We listen to music.,to listen music We
We study economics.,We economics study
We watch the snow.,We the watch snow
We go for a swim.,for swim a We go
We write letters.,write letters We
We watch the river.,watch river We the
We study physics.,We physics study
We go on a trip.,We trip go a on
We attend classes.,classes We attend
We watch the sunset.,sunset the watch We
